idEsp,Dorsal,Nombre,equipos_idEquipo
1,1,María Isabel Rodríguez Rivero,1
2,19,Olga Carmona,1
3,3,Teresa Abelleira,1
4,4,Irene Paredes,1
5,5,Ivana Andrés,1
6,10,Jenni Hermoso,1
7,8,María Francesca Caldentey Oliver,1
8,18,Salma Paralluelo,1
9,11,Alexia Putellas,1
10,6,Aitana Bonmati,1
11,2,Ona Batlle,1
12,12,Oihane Hernández,1
13,7,Irene Guerrero,1
14,17,Alba Redondo,1
15,15,Eva Navarro,1
16,22,Athenea del Castillo,1
17,14,Laia Codina,1
18,9,Esther Gonzalez,1
19,20,Rocio Galvez,1
20,16,Maria Perez,1
21,23,Catalina Thomás Coll Lluch,1
22,13,Enith Salón,1
23,21,Claudia Zornoza,1
